bom_item,part_type,required_voltage_v,min_temp_c,max_temp_c,deployment_environment
BOM-B-G013-39F5,sensor_interface_g013-39f5,24,0,50,indoor_panel_g013-39f5
BOM-C-G013-39F5,power_relay_g013-39f5,24,-10,65,high_vibration_cabinet_g013-39f5
BOM-D-G013-39F5,connector_g013-39f5,5,-10,40,indoor_panel_g013-39f5
BOM-A-G014-4E33,sensor_interface_g014-4e33,24,-20,70,outdoor_enclosure_g014-4e33
BOM-B-G014-4E33,sensor_interface_g014-4e33,24,0,50,indoor_panel_g014-4e33
BOM-C-G014-4E33,power_relay_g014-4e33,24,-10,65,high_vibration_cabinet_g014-4e33
BOM-D-G014-4E33,connector_g014-4e33,5,-10,40,indoor_panel_g014-4e33
BOM-A-G015-EF65,sensor_interface_g015-ef65,24,-20,70,outdoor_enclosure_g015-ef65
BOM-B-G015-EF65,sensor_interface_g015-ef65,24,0,50,indoor_panel_g015-ef65
BOM-C-G015-EF65,power_relay_g015-ef65,24,-10,65,high_vibration_cabinet_g015-ef65
BOM-D-G015-EF65,connector_g015-ef65,5,-10,40,indoor_panel_g015-ef65
BOM-A-G016-3575,sensor_interface_g016-3575,24,-20,70,outdoor_enclosure_g016-3575
BOM-B-G016-3575,sensor_interface_g016-3575,24,0,50,indoor_panel_g016-3575
BOM-C-G016-3575,power_relay_g016-3575,24,-10,65,high_vibration_cabinet_g016-3575
BOM-D-G016-3575,connector_g016-3575,5,-10,40,indoor_panel_g016-3575
BOM-A-G017-F6F2,sensor_interface_g017-f6f2,24,-20,70,outdoor_enclosure_g017-f6f2
BOM-B-G017-F6F2,sensor_interface_g017-f6f2,24,0,50,indoor_panel_g017-f6f2
BOM-C-G017-F6F2,power_relay_g017-f6f2,24,-10,65,high_vibration_cabinet_g017-f6f2
BOM-D-G017-F6F2,connector_g017-f6f2,5,-10,40,indoor_panel_g017-f6f2
BOM-A-G018-BEBE,sensor_interface_g018-bebe,24,-20,70,outdoor_enclosure_g018-bebe
BOM-B-G018-BEBE,sensor_interface_g018-bebe,24,0,50,indoor_panel_g018-bebe
BOM-C-G018-BEBE,power_relay_g018-bebe,24,-10,65,high_vibration_cabinet_g018-bebe
BOM-D-G018-BEBE,connector_g018-bebe,5,-10,40,indoor_panel_g018-bebe
BOM-A-G019-5A24,sensor_interface_g019-5a24,24,-20,70,outdoor_enclosure_g019-5a24
BOM-B-G019-5A24,sensor_interface_g019-5a24,24,0,50,indoor_panel_g019-5a24
BOM-C-G019-5A24,power_relay_g019-5a24,24,-10,65,high_vibration_cabinet_g019-5a24
BOM-D-G019-5A24,connector_g019-5a24,5,-10,40,indoor_panel_g019-5a24
BOM-A-G020-5C81,sensor_interface_g020-5c81,24,-20,70,outdoor_enclosure_g020-5c81
BOM-B-G020-5C81,sensor_interface_g020-5c81,24,0,50,indoor_panel_g020-5c81
BOM-C-G020-5C81,power_relay_g020-5c81,24,-10,65,high_vibration_cabinet_g020-5c81
BOM-D-G020-5C81,connector_g020-5c81,5,-10,40,indoor_panel_g020-5c81
BOM-A-G021-F56F,sensor_interface_g021-f56f,24,-20,70,outdoor_enclosure_g021-f56f
BOM-B-G021-F56F,sensor_interface_g021-f56f,24,0,50,indoor_panel_g021-f56f
BOM-C-G021-F56F,power_relay_g021-f56f,24,-10,65,high_vibration_cabinet_g021-f56f
BOM-D-G021-F56F,connector_g021-f56f,5,-10,40,indoor_panel_g021-f56f
BOM-A-G022-C937,sensor_interface_g022-c937,24,-20,70,outdoor_enclosure_g022-c937
BOM-B-G022-C937,sensor_interface_g022-c937,24,0,50,indoor_panel_g022-c937
BOM-C-G022-C937,power_relay_g022-c937,24,-10,65,high_vibration_cabinet_g022-c937
BOM-D-G022-C937,connector_g022-c937,5,-10,40,indoor_panel_g022-c937
BOM-A-G023-1B91,sensor_interface_g023-1b91,24,-20,70,outdoor_enclosure_g023-1b91
BOM-B-G023-1B91,sensor_interface_g023-1b91,24,0,50,indoor_panel_g023-1b91
BOM-C-G023-1B91,power_relay_g023-1b91,24,-10,65,high_vibration_cabinet_g023-1b91
BOM-D-G023-1B91,connector_g023-1b91,5,-10,40,indoor_panel_g023-1b91
BOM-A-G024-D80E,sensor_interface_g024-d80e,24,-20,70,outdoor_enclosure_g024-d80e
BOM-B-G024-D80E,sensor_interface_g024-d80e,24,0,50,indoor_panel_g024-d80e
BOM-C-G024-D80E,power_relay_g024-d80e,24,-10,65,high_vibration_cabinet_g024-d80e
BOM-D-G024-D80E,connector_g024-d80e,5,-10,40,indoor_panel_g024-d80e
BOM-A-G025-7D4A,sensor_interface_g025-7d4a,24,-20,70,outdoor_enclosure_g025-7d4a
BOM-B-G025-7D4A,sensor_interface_g025-7d4a,24,0,50,indoor_panel_g025-7d4a
BOM-C-G025-7D4A,power_relay_g025-7d4a,24,-10,65,high_vibration_cabinet_g025-7d4a
BOM-D-G025-7D4A,connector_g025-7d4a,5,-10,40,indoor_panel_g025-7d4a
BOM-A-G026-7952,sensor_interface_g026-7952,24,-20,70,outdoor_enclosure_g026-7952
BOM-B-G026-7952,sensor_interface_g026-7952,24,0,50,indoor_panel_g026-7952
BOM-C-G026-7952,power_relay_g026-7952,24,-10,65,high_vibration_cabinet_g026-7952
BOM-D-G026-7952,connector_g026-7952,5,-10,40,indoor_panel_g026-7952
BOM-A-G027-0F3B,sensor_interface_g027-0f3b,24,-20,70,outdoor_enclosure_g027-0f3b
BOM-B-G027-0F3B,sensor_interface_g027-0f3b,24,0,50,indoor_panel_g027-0f3b
BOM-C-G027-0F3B,power_relay_g027-0f3b,24,-10,65,high_vibration_cabinet_g027-0f3b
BOM-D-G027-0F3B,connector_g027-0f3b,5,-10,40,indoor_panel_g027-0f3b
BOM-A-G028-2D6A,sensor_interface_g028-2d6a,24,-20,70,outdoor_enclosure_g028-2d6a
BOM-B-G028-2D6A,sensor_interface_g028-2d6a,24,0,50,indoor_panel_g028-2d6a
BOM-C-G028-2D6A,power_relay_g028-2d6a,24,-10,65,high_vibration_cabinet_g028-2d6a
BOM-D-G028-2D6A,connector_g028-2d6a,5,-10,40,indoor_panel_g028-2d6a
BOM-A-G029-5BD6,sensor_interface_g029-5bd6,24,-20,70,outdoor_enclosure_g029-5bd6
BOM-B-G029-5BD6,sensor_interface_g029-5bd6,24,0,50,indoor_panel_g029-5bd6
BOM-C-G029-5BD6,power_relay_g029-5bd6,24,-10,65,high_vibration_cabinet_g029-5bd6
BOM-D-G029-5BD6,connector_g029-5bd6,5,-10,40,indoor_panel_g029-5bd6
BOM-A-G030-68E1,sensor_interface_g030-68e1,24,-20,70,outdoor_enclosure_g030-68e1
BOM-B-G030-68E1,sensor_interface_g030-68e1,24,0,50,indoor_panel_g030-68e1
BOM-C-G030-68E1,power_relay_g030-68e1,24,-10,65,high_vibration_cabinet_g030-68e1
BOM-D-G030-68E1,connector_g030-68e1,5,-10,40,indoor_panel_g030-68e1
BOM-A-G031-ABCB,sensor_interface_g031-abcb,24,-20,70,outdoor_enclosure_g031-abcb
BOM-B-G031-ABCB,sensor_interface_g031-abcb,24,0,50,indoor_panel_g031-abcb
BOM-C-G031-ABCB,power_relay_g031-abcb,24,-10,65,high_vibration_cabinet_g031-abcb
BOM-D-G031-ABCB,connector_g031-abcb,5,-10,40,indoor_panel_g031-abcb
BOM-A-G032-E645,sensor_interface_g032-e645,24,-20,70,outdoor_enclosure_g032-e645
BOM-B-G032-E645,sensor_interface_g032-e645,24,0,50,indoor_panel_g032-e645
BOM-C-G032-E645,power_relay_g032-e645,24,-10,65,high_vibration_cabinet_g032-e645
BOM-D-G032-E645,connector_g032-e645,5,-10,40,indoor_panel_g032-e645
BOM-A-G033-4DD9,sensor_interface_g033-4dd9,24,-20,70,outdoor_enclosure_g033-4dd9
BOM-B-G033-4DD9,sensor_interface_g033-4dd9,24,0,50,indoor_panel_g033-4dd9
BOM-C-G033-4DD9,power_relay_g033-4dd9,24,-10,65,high_vibration_cabinet_g033-4dd9
BOM-D-G033-4DD9,connector_g033-4dd9,5,-10,40,indoor_panel_g033-4dd9
BOM-A-G034-4459,sensor_interface_g034-4459,24,-20,70,outdoor_enclosure_g034-4459
BOM-B-G034-4459,sensor_interface_g034-4459,24,0,50,indoor_panel_g034-4459
BOM-C-G034-4459,power_relay_g034-4459,24,-10,65,high_vibration_cabinet_g034-4459
BOM-D-G034-4459,connector_g034-4459,5,-10,40,indoor_panel_g034-4459
BOM-A-G035-66B9,sensor_interface_g035-66b9,24,-20,70,outdoor_enclosure_g035-66b9
BOM-B-G035-66B9,sensor_interface_g035-66b9,24,0,50,indoor_panel_g035-66b9
BOM-C-G035-66B9,power_relay_g035-66b9,24,-10,65,high_vibration_cabinet_g035-66b9
BOM-D-G035-66B9,connector_g035-66b9,5,-10,40,indoor_panel_g035-66b9
BOM-A-G036-00AB,sensor_interface_g036-00ab,24,-20,70,outdoor_enclosure_g036-00ab
BOM-B-G036-00AB,sensor_interface_g036-00ab,24,0,50,indoor_panel_g036-00ab
BOM-C-G036-00AB,power_relay_g036-00ab,24,-10,65,high_vibration_cabinet_g036-00ab
BOM-D-G036-00AB,connector_g036-00ab,5,-10,40,indoor_panel_g036-00ab
BOM-A-G037-D16D,sensor_interface_g037-d16d,24,-20,70,outdoor_enclosure_g037-d16d
BOM-B-G037-D16D,sensor_interface_g037-d16d,24,0,50,indoor_panel_g037-d16d
BOM-C-G037-D16D,power_relay_g037-d16d,24,-10,65,high_vibration_cabinet_g037-d16d
BOM-D-G037-D16D,connector_g037-d16d,5,-10,40,indoor_panel_g037-d16d
BOM-A-G038-4178,sensor_interface_g038-4178,24,-20,70,outdoor_enclosure_g038-4178
BOM-B-G038-4178,sensor_interface_g038-4178,24,0,50,indoor_panel_g038-4178
BOM-C-G038-4178,power_relay_g038-4178,24,-10,65,high_vibration_cabinet_g038-4178
BOM-D-G038-4178,connector_g038-4178,5,-10,40,indoor_panel_g038-4178
BOM-A-G039-1544,sensor_interface_g039-1544,24,-20,70,outdoor_enclosure_g039-1544
BOM-B-G039-1544,sensor_interface_g039-1544,24,0,50,indoor_panel_g039-1544
BOM-C-G039-1544,power_relay_g039-1544,24,-10,65,high_vibration_cabinet_g039-1544
BOM-D-G039-1544,connector_g039-1544,5,-10,40,indoor_panel_g039-1544
BOM-A-G040-9B06,sensor_interface_g040-9b06,24,-20,70,outdoor_enclosure_g040-9b06
BOM-B-G040-9B06,sensor_interface_g040-9b06,24,0,50,indoor_panel_g040-9b06
BOM-C-G040-9B06,power_relay_g040-9b06,24,-10,65,high_vibration_cabinet_g040-9b06
BOM-D-G040-9B06,connector_g040-9b06,5,-10,40,indoor_panel_g040-9b06
BOM-A-G041-6F5B,sensor_interface_g041-6f5b,24,-20,70,outdoor_enclosure_g041-6f5b
BOM-B-G041-6F5B,sensor_interface_g041-6f5b,24,0,50,indoor_panel_g041-6f5b
BOM-C-G041-6F5B,power_relay_g041-6f5b,24,-10,65,high_vibration_cabinet_g041-6f5b
BOM-D-G041-6F5B,connector_g041-6f5b,5,-10,40,indoor_panel_g041-6f5b
BOM-A-G042-0ED0,sensor_interface_g042-0ed0,24,-20,70,outdoor_enclosure_g042-0ed0
BOM-B-G042-0ED0,sensor_interface_g042-0ed0,24,0,50,indoor_panel_g042-0ed0
BOM-C-G042-0ED0,power_relay_g042-0ed0,24,-10,65,high_vibration_cabinet_g042-0ed0
BOM-D-G042-0ED0,connector_g042-0ed0,5,-10,40,indoor_panel_g042-0ed0
BOM-A-G043-B37D,sensor_interface_g043-b37d,24,-20,70,outdoor_enclosure_g043-b37d
BOM-B-G043-B37D,sensor_interface_g043-b37d,24,0,50,indoor_panel_g043-b37d
BOM-C-G043-B37D,power_relay_g043-b37d,24,-10,65,high_vibration_cabinet_g043-b37d
BOM-D-G043-B37D,connector_g043-b37d,5,-10,40,indoor_panel_g043-b37d
BOM-A-G044-D85B,sensor_interface_g044-d85b,24,-20,70,outdoor_enclosure_g044-d85b
BOM-B-G044-D85B,sensor_interface_g044-d85b,24,0,50,indoor_panel_g044-d85b
BOM-C-G044-D85B,power_relay_g044-d85b,24,-10,65,high_vibration_cabinet_g044-d85b
BOM-D-G044-D85B,connector_g044-d85b,5,-10,40,indoor_panel_g044-d85b
BOM-A-G045-B000,sensor_interface_g045-b000,24,-20,70,outdoor_enclosure_g045-b000
BOM-B-G045-B000,sensor_interface_g045-b000,24,0,50,indoor_panel_g045-b000
BOM-C-G045-B000,power_relay_g045-b000,24,-10,65,high_vibration_cabinet_g045-b000
BOM-D-G045-B000,connector_g045-b000,5,-10,40,indoor_panel_g045-b000
BOM-A-G046-8384,sensor_interface_g046-8384,24,-20,70,outdoor_enclosure_g046-8384
BOM-B-G046-8384,sensor_interface_g046-8384,24,0,50,indoor_panel_g046-8384
BOM-C-G046-8384,power_relay_g046-8384,24,-10,65,high_vibration_cabinet_g046-8384
BOM-D-G046-8384,connector_g046-8384,5,-10,40,indoor_panel_g046-8384
BOM-A-G047-E3F2,sensor_interface_g047-e3f2,24,-20,70,outdoor_enclosure_g047-e3f2
BOM-B-G047-E3F2,sensor_interface_g047-e3f2,24,0,50,indoor_panel_g047-e3f2
BOM-C-G047-E3F2,power_relay_g047-e3f2,24,-10,65,high_vibration_cabinet_g047-e3f2
BOM-D-G047-E3F2,connector_g047-e3f2,5,-10,40,indoor_panel_g047-e3f2
BOM-A-G048-6FBA,sensor_interface_g048-6fba,24,-20,70,outdoor_enclosure_g048-6fba
BOM-B-G048-6FBA,sensor_interface_g048-6fba,24,0,50,indoor_panel_g048-6fba
BOM-C-G048-6FBA,power_relay_g048-6fba,24,-10,65,high_vibration_cabinet_g048-6fba
BOM-D-G048-6FBA,connector_g048-6fba,5,-10,40,indoor_panel_g048-6fba
BOM-A-G049-B19A,sensor_interface_g049-b19a,24,-20,70,outdoor_enclosure_g049-b19a
BOM-B-G049-B19A,sensor_interface_g049-b19a,24,0,50,indoor_panel_g049-b19a
BOM-C-G049-B19A,power_relay_g049-b19a,24,-10,65,high_vibration_cabinet_g049-b19a
BOM-D-G049-B19A,connector_g049-b19a,5,-10,40,indoor_panel_g049-b19a
BOM-A-G050-9778,sensor_interface_g050-9778,24,-20,70,outdoor_enclosure_g050-9778
BOM-B-G050-9778,sensor_interface_g050-9778,24,0,50,indoor_panel_g050-9778
BOM-C-G050-9778,power_relay_g050-9778,24,-10,65,high_vibration_cabinet_g050-9778
BOM-D-G050-9778,connector_g050-9778,5,-10,40,indoor_panel_g050-9778
BOM-A-G051-DE0D,sensor_interface_g051-de0d,24,-20,70,outdoor_enclosure_g051-de0d
BOM-B-G051-DE0D,sensor_interface_g051-de0d,24,0,50,indoor_panel_g051-de0d
BOM-C-G051-DE0D,power_relay_g051-de0d,24,-10,65,high_vibration_cabinet_g051-de0d
BOM-D-G051-DE0D,connector_g051-de0d,5,-10,40,indoor_panel_g051-de0d
BOM-A-G052-B5C6,sensor_interface_g052-b5c6,24,-20,70,outdoor_enclosure_g052-b5c6
BOM-B-G052-B5C6,sensor_interface_g052-b5c6,24,0,50,indoor_panel_g052-b5c6
BOM-C-G052-B5C6,power_relay_g052-b5c6,24,-10,65,high_vibration_cabinet_g052-b5c6
BOM-D-G052-B5C6,connector_g052-b5c6,5,-10,40,indoor_panel_g052-b5c6
BOM-A-G053-21DC,sensor_interface_g053-21dc,24,-20,70,outdoor_enclosure_g053-21dc
BOM-B-G053-21DC,sensor_interface_g053-21dc,24,0,50,indoor_panel_g053-21dc
BOM-C-G053-21DC,power_relay_g053-21dc,24,-10,65,high_vibration_cabinet_g053-21dc
BOM-D-G053-21DC,connector_g053-21dc,5,-10,40,indoor_panel_g053-21dc
BOM-A-G054-8482,sensor_interface_g054-8482,24,-20,70,outdoor_enclosure_g054-8482
BOM-B-G054-8482,sensor_interface_g054-8482,24,0,50,indoor_panel_g054-8482
BOM-C-G054-8482,power_relay_g054-8482,24,-10,65,high_vibration_cabinet_g054-8482
BOM-D-G054-8482,connector_g054-8482,5,-10,40,indoor_panel_g054-8482
BOM-A-G055-25C1,sensor_interface_g055-25c1,24,-20,70,outdoor_enclosure_g055-25c1
BOM-B-G055-25C1,sensor_interface_g055-25c1,24,0,50,indoor_panel_g055-25c1
BOM-C-G055-25C1,power_relay_g055-25c1,24,-10,65,high_vibration_cabinet_g055-25c1
BOM-D-G055-25C1,connector_g055-25c1,5,-10,40,indoor_panel_g055-25c1
BOM-A-G056-5C18,sensor_interface_g056-5c18,24,-20,70,outdoor_enclosure_g056-5c18
BOM-B-G056-5C18,sensor_interface_g056-5c18,24,0,50,indoor_panel_g056-5c18
BOM-C-G056-5C18,power_relay_g056-5c18,24,-10,65,high_vibration_cabinet_g056-5c18
BOM-D-G056-5C18,connector_g056-5c18,5,-10,40,indoor_panel_g056-5c18
BOM-A-G057-8395,sensor_interface_g057-8395,24,-20,70,outdoor_enclosure_g057-8395
BOM-B-G057-8395,sensor_interface_g057-8395,24,0,50,indoor_panel_g057-8395
BOM-C-G057-8395,power_relay_g057-8395,24,-10,65,high_vibration_cabinet_g057-8395
BOM-D-G057-8395,connector_g057-8395,5,-10,40,indoor_panel_g057-8395
BOM-A-G058-E2B1,sensor_interface_g058-e2b1,24,-20,70,outdoor_enclosure_g058-e2b1
BOM-B-G058-E2B1,sensor_interface_g058-e2b1,24,0,50,indoor_panel_g058-e2b1
BOM-C-G058-E2B1,power_relay_g058-e2b1,24,-10,65,high_vibration_cabinet_g058-e2b1
BOM-D-G058-E2B1,connector_g058-e2b1,5,-10,40,indoor_panel_g058-e2b1
BOM-A-G059-F30A,sensor_interface_g059-f30a,24,-20,70,outdoor_enclosure_g059-f30a
BOM-B-G059-F30A,sensor_interface_g059-f30a,24,0,50,indoor_panel_g059-f30a
BOM-C-G059-F30A,power_relay_g059-f30a,24,-10,65,high_vibration_cabinet_g059-f30a
BOM-D-G059-F30A,connector_g059-f30a,5,-10,40,indoor_panel_g059-f30a
BOM-A-G060-1B62,sensor_interface_g060-1b62,24,-20,70,outdoor_enclosure_g060-1b62
BOM-B-G060-1B62,sensor_interface_g060-1b62,24,0,50,indoor_panel_g060-1b62
BOM-C-G060-1B62,power_relay_g060-1b62,24,-10,65,high_vibration_cabinet_g060-1b62
BOM-D-G060-1B62,connector_g060-1b62,5,-10,40,indoor_panel_g060-1b62
BOM-A-G061-3EAC,sensor_interface_g061-3eac,24,-20,70,outdoor_enclosure_g061-3eac
BOM-B-G061-3EAC,sensor_interface_g061-3eac,24,0,50,indoor_panel_g061-3eac
BOM-C-G061-3EAC,power_relay_g061-3eac,24,-10,65,high_vibration_cabinet_g061-3eac
BOM-D-G061-3EAC,connector_g061-3eac,5,-10,40,indoor_panel_g061-3eac
BOM-A-G062-06D9,sensor_interface_g062-06d9,24,-20,70,outdoor_enclosure_g062-06d9
BOM-B-G062-06D9,sensor_interface_g062-06d9,24,0,50,indoor_panel_g062-06d9
BOM-C-G062-06D9,power_relay_g062-06d9,24,-10,65,high_vibration_cabinet_g062-06d9
BOM-D-G062-06D9,connector_g062-06d9,5,-10,40,indoor_panel_g062-06d9
BOM-A-G063-9F23,sensor_interface_g063-9f23,24,-20,70,outdoor_enclosure_g063-9f23
BOM-B-G063-9F23,sensor_interface_g063-9f23,24,0,50,indoor_panel_g063-9f23
BOM-C-G063-9F23,power_relay_g063-9f23,24,-10,65,high_vibration_cabinet_g063-9f23
BOM-D-G063-9F23,connector_g063-9f23,5,-10,40,indoor_panel_g063-9f23
BOM-A-G064-220A,sensor_interface_g064-220a,24,-20,70,outdoor_enclosure_g064-220a
BOM-B-G064-220A,sensor_interface_g064-220a,24,0,50,indoor_panel_g064-220a
BOM-C-G064-220A,power_relay_g064-220a,24,-10,65,high_vibration_cabinet_g064-220a
BOM-D-G064-220A,connector_g064-220a,5,-10,40,indoor_panel_g064-220a
BOM-A-G065-9D46,sensor_interface_g065-9d46,24,-20,70,outdoor_enclosure_g065-9d46
BOM-B-G065-9D46,sensor_interface_g065-9d46,24,0,50,indoor_panel_g065-9d46
BOM-C-G065-9D46,power_relay_g065-9d46,24,-10,65,high_vibration_cabinet_g065-9d46
BOM-D-G065-9D46,connector_g065-9d46,5,-10,40,indoor_panel_g065-9d46
BOM-A-G066-D8C6,sensor_interface_g066-d8c6,24,-20,70,outdoor_enclosure_g066-d8c6
BOM-B-G066-D8C6,sensor_interface_g066-d8c6,24,0,50,indoor_panel_g066-d8c6
BOM-C-G066-D8C6,power_relay_g066-d8c6,24,-10,65,high_vibration_cabinet_g066-d8c6
BOM-D-G066-D8C6,connector_g066-d8c6,5,-10,40,indoor_panel_g066-d8c6
BOM-A-G067-C1D0,sensor_interface_g067-c1d0,24,-20,70,outdoor_enclosure_g067-c1d0
BOM-B-G067-C1D0,sensor_interface_g067-c1d0,24,0,50,indoor_panel_g067-c1d0
BOM-C-G067-C1D0,power_relay_g067-c1d0,24,-10,65,high_vibration_cabinet_g067-c1d0
BOM-D-G067-C1D0,connector_g067-c1d0,5,-10,40,indoor_panel_g067-c1d0
BOM-A-G068-0EDE,sensor_interface_g068-0ede,24,-20,70,outdoor_enclosure_g068-0ede
BOM-B-G068-0EDE,sensor_interface_g068-0ede,24,0,50,indoor_panel_g068-0ede
BOM-C-G068-0EDE,power_relay_g068-0ede,24,-10,65,high_vibration_cabinet_g068-0ede
BOM-D-G068-0EDE,connector_g068-0ede,5,-10,40,indoor_panel_g068-0ede
BOM-A-G069-49E3,sensor_interface_g069-49e3,24,-20,70,outdoor_enclosure_g069-49e3
BOM-B-G069-49E3,sensor_interface_g069-49e3,24,0,50,indoor_panel_g069-49e3
BOM-C-G069-49E3,power_relay_g069-49e3,24,-10,65,high_vibration_cabinet_g069-49e3
BOM-D-G069-49E3,connector_g069-49e3,5,-10,40,indoor_panel_g069-49e3
BOM-A-G070-7FAD,sensor_interface_g070-7fad,24,-20,70,outdoor_enclosure_g070-7fad
BOM-B-G070-7FAD,sensor_interface_g070-7fad,24,0,50,indoor_panel_g070-7fad
BOM-C-G070-7FAD,power_relay_g070-7fad,24,-10,65,high_vibration_cabinet_g070-7fad
BOM-D-G070-7FAD,connector_g070-7fad,5,-10,40,indoor_panel_g070-7fad
BOM-A-G071-D61A,sensor_interface_g071-d61a,24,-20,70,outdoor_enclosure_g071-d61a
BOM-B-G071-D61A,sensor_interface_g071-d61a,24,0,50,indoor_panel_g071-d61a
BOM-C-G071-D61A,power_relay_g071-d61a,24,-10,65,high_vibration_cabinet_g071-d61a
BOM-D-G071-D61A,connector_g071-d61a,5,-10,40,indoor_panel_g071-d61a
BOM-A-G072-AA25,sensor_interface_g072-aa25,24,-20,70,outdoor_enclosure_g072-aa25
BOM-B-G072-AA25,sensor_interface_g072-aa25,24,0,50,indoor_panel_g072-aa25
BOM-C-G072-AA25,power_relay_g072-aa25,24,-10,65,high_vibration_cabinet_g072-aa25
BOM-D-G072-AA25,connector_g072-aa25,5,-10,40,indoor_panel_g072-aa25
