application_key,facility,parameter,monitoring_period,change,fields_changed,before_comparison,after_comparison,before_monitoring,after_monitoring,before_evidence,after_evidence,before_unresolved,after_unresolved,semantic_relation,grounding_pointer,before_state,after_state
measurement:dmr_form_value_id=3920662061,NM0020583,22418,2025-02-28,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662062,NM0020583,22419,2025-02-28,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662063,NM0020583,51443,2025-02-28,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662064,NM0020583,51444,2025-02-28,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662065,NM0020583,TEM3D,2025-02-28,field_delta,"comparison_status,evidence_status,unresolved_reason,pass_fail_reported",UNRESOLVED_SEMANTIC,PASS,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,DETERMINATE,limit_sample_type_code;monitoring_frequency_code;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,pass_fail_outcome_reporting,,state_b,state_c
measurement:dmr_form_value_id=3920662066,NM0020583,TEM6C,2025-02-28,field_delta,"comparison_status,evidence_status,unresolved_reason,pass_fail_reported",UNRESOLVED_SEMANTIC,PASS,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,DETERMINATE,limit_sample_type_code;monitoring_frequency_code;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,pass_fail_outcome_reporting,,state_b,state_c
measurement:dmr_form_value_id=3920662071,NM0020583,22415,2025-05-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662072,NM0020583,22416,2025-05-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662073,NM0020583,22418,2025-05-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662074,NM0020583,22419,2025-05-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662075,NM0020583,51443,2025-05-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662076,NM0020583,51444,2025-05-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662077,NM0020583,TEM3D,2025-05-31,field_delta,"comparison_status,evidence_status,unresolved_reason,pass_fail_reported",UNRESOLVED_SEMANTIC,PASS,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,DETERMINATE,limit_sample_type_code;monitoring_frequency_code;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,pass_fail_outcome_reporting,,state_b,state_c
measurement:dmr_form_value_id=3920662078,NM0020583,TEM6C,2025-05-31,field_delta,"comparison_status,evidence_status,unresolved_reason,pass_fail_reported",UNRESOLVED_SEMANTIC,PASS,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,DETERMINATE,limit_sample_type_code;monitoring_frequency_code;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,pass_fail_outcome_reporting,,state_b,state_c
measurement:dmr_form_value_id=3920662083,NM0020583,22415,2025-08-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662084,NM0020583,22416,2025-08-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662085,NM0020583,22418,2025-08-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662086,NM0020583,22419,2025-08-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662087,NM0020583,51443,2025-08-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662088,NM0020583,51444,2025-08-31,field_delta,unresolved_reason,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,UNRESOLVED_SEMANTIC,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;nodi_code_semantics;permit_limit_comment_text,,,state_b,state_c
measurement:dmr_form_value_id=3920662089,NM0020583,TEM3D,2025-08-31,field_delta,"comparison_status,evidence_status,unresolved_reason,pass_fail_reported",UNRESOLVED_SEMANTIC,PASS,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,DETERMINATE,limit_sample_type_code;monitoring_frequency_code;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,pass_fail_outcome_reporting,,state_b,state_c
measurement:dmr_form_value_id=3920662090,NM0020583,TEM6C,2025-08-31,field_delta,"comparison_status,evidence_status,unresolved_reason,pass_fail_reported",UNRESOLVED_SEMANTIC,PASS,FREQUENCY_UNINTERPRETED,FREQUENCY_UNINTERPRETED,UNRESOLVED_SEMANTIC,DETERMINATE,limit_sample_type_code;monitoring_frequency_code;pass_fail_reporting_semantics;permit_limit_comment_text,limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,pass_fail_outcome_reporting,,state_b,state_c
