case,platform,row_count,table
identity-platform-cutover-boundary-control,identity-platform,2,boundarys
identity-platform-cutover-boundary-control,identity-platform,1,deployments
identity-platform-cutover-boundary-control,identity-platform,1,module_depends_on_module
identity-platform-cutover-boundary-control,identity-platform,1,module_depends_on_package
identity-platform-cutover-boundary-control,identity-platform,2,modules
identity-platform-cutover-boundary-control,identity-platform,1,packages
identity-platform-cutover-boundary-control,identity-platform,2,resources
identity-platform-cutover-boundary-control,identity-platform,2,service_crosses_boundary
identity-platform-cutover-boundary-control,identity-platform,2,service_deployed_to_deployment
identity-platform-cutover-boundary-control,identity-platform,2,service_implements_module
identity-platform-cutover-boundary-control,identity-platform,1,service_owned_by_team
identity-platform-cutover-boundary-control,identity-platform,2,service_uses_resource
identity-platform-cutover-boundary-control,identity-platform,2,services
identity-platform-cutover-boundary-control,identity-platform,1,task_retires_package
identity-platform-cutover-boundary-control,identity-platform,1,task_targets_deployment
identity-platform-cutover-boundary-control,identity-platform,1,tasks
identity-platform-cutover-boundary-control,identity-platform,1,teams
identity-platform-cutover-boundary-control,identity-platform,2,test_verifies_service
identity-platform-cutover-boundary-control,identity-platform,2,tests
identity-platform-cutover-readiness,identity-platform,2,boundarys
identity-platform-cutover-readiness,identity-platform,1,deployments
identity-platform-cutover-readiness,identity-platform,1,module_depends_on_module
identity-platform-cutover-readiness,identity-platform,1,module_depends_on_package
identity-platform-cutover-readiness,identity-platform,2,modules
identity-platform-cutover-readiness,identity-platform,1,packages
identity-platform-cutover-readiness,identity-platform,2,resources
identity-platform-cutover-readiness,identity-platform,2,service_crosses_boundary
identity-platform-cutover-readiness,identity-platform,2,service_deployed_to_deployment
identity-platform-cutover-readiness,identity-platform,2,service_implements_module
identity-platform-cutover-readiness,identity-platform,1,service_owned_by_team
identity-platform-cutover-readiness,identity-platform,2,service_uses_resource
identity-platform-cutover-readiness,identity-platform,2,services
identity-platform-cutover-readiness,identity-platform,1,task_retires_package
identity-platform-cutover-readiness,identity-platform,1,task_targets_deployment
identity-platform-cutover-readiness,identity-platform,1,tasks
identity-platform-cutover-readiness,identity-platform,1,teams
identity-platform-cutover-readiness,identity-platform,2,test_verifies_service
identity-platform-cutover-readiness,identity-platform,2,tests
catalogue-platform-verification-control,catalogue-platform,2,boundarys
catalogue-platform-verification-control,catalogue-platform,1,deployments
catalogue-platform-verification-control,catalogue-platform,1,module_depends_on_module
catalogue-platform-verification-control,catalogue-platform,1,module_depends_on_package
catalogue-platform-verification-control,catalogue-platform,2,modules
catalogue-platform-verification-control,catalogue-platform,1,packages
catalogue-platform-verification-control,catalogue-platform,2,resources
catalogue-platform-verification-control,catalogue-platform,2,service_crosses_boundary
catalogue-platform-verification-control,catalogue-platform,2,service_deployed_to_deployment
catalogue-platform-verification-control,catalogue-platform,2,service_implements_module
catalogue-platform-verification-control,catalogue-platform,1,service_owned_by_team
catalogue-platform-verification-control,catalogue-platform,2,service_uses_resource
catalogue-platform-verification-control,catalogue-platform,2,services
catalogue-platform-verification-control,catalogue-platform,1,teams
catalogue-platform-verification-control,catalogue-platform,2,test_verifies_service
catalogue-platform-verification-control,catalogue-platform,2,tests
catalogue-platform-production-impact,catalogue-platform,2,boundarys
catalogue-platform-production-impact,catalogue-platform,1,deployments
catalogue-platform-production-impact,catalogue-platform,1,module_depends_on_module
catalogue-platform-production-impact,catalogue-platform,1,module_depends_on_package
catalogue-platform-production-impact,catalogue-platform,2,modules
catalogue-platform-production-impact,catalogue-platform,1,packages
catalogue-platform-production-impact,catalogue-platform,2,resources
catalogue-platform-production-impact,catalogue-platform,2,service_crosses_boundary
catalogue-platform-production-impact,catalogue-platform,2,service_deployed_to_deployment
catalogue-platform-production-impact,catalogue-platform,2,service_implements_module
catalogue-platform-production-impact,catalogue-platform,1,service_owned_by_team
catalogue-platform-production-impact,catalogue-platform,2,service_uses_resource
catalogue-platform-production-impact,catalogue-platform,2,services
catalogue-platform-production-impact,catalogue-platform,1,teams
catalogue-platform-production-impact,catalogue-platform,2,test_verifies_service
catalogue-platform-production-impact,catalogue-platform,2,tests
catalogue-platform-cutover-boundary-control,catalogue-platform,2,boundarys
catalogue-platform-cutover-boundary-control,catalogue-platform,1,deployments
catalogue-platform-cutover-boundary-control,catalogue-platform,1,module_depends_on_module
catalogue-platform-cutover-boundary-control,catalogue-platform,1,module_depends_on_package
catalogue-platform-cutover-boundary-control,catalogue-platform,2,modules
catalogue-platform-cutover-boundary-control,catalogue-platform,1,packages
catalogue-platform-cutover-boundary-control,catalogue-platform,2,resources
catalogue-platform-cutover-boundary-control,catalogue-platform,2,service_crosses_boundary
catalogue-platform-cutover-boundary-control,catalogue-platform,2,service_deployed_to_deployment
catalogue-platform-cutover-boundary-control,catalogue-platform,2,service_implements_module
catalogue-platform-cutover-boundary-control,catalogue-platform,1,service_owned_by_team
catalogue-platform-cutover-boundary-control,catalogue-platform,2,service_uses_resource
catalogue-platform-cutover-boundary-control,catalogue-platform,2,services
catalogue-platform-cutover-boundary-control,catalogue-platform,1,task_retires_package
catalogue-platform-cutover-boundary-control,catalogue-platform,1,task_targets_deployment
catalogue-platform-cutover-boundary-control,catalogue-platform,1,tasks
catalogue-platform-cutover-boundary-control,catalogue-platform,1,teams
catalogue-platform-cutover-boundary-control,catalogue-platform,2,test_verifies_service
catalogue-platform-cutover-boundary-control,catalogue-platform,2,tests
catalogue-platform-cutover-readiness,catalogue-platform,2,boundarys
catalogue-platform-cutover-readiness,catalogue-platform,1,deployments
catalogue-platform-cutover-readiness,catalogue-platform,1,module_depends_on_module
catalogue-platform-cutover-readiness,catalogue-platform,1,module_depends_on_package
catalogue-platform-cutover-readiness,catalogue-platform,2,modules
catalogue-platform-cutover-readiness,catalogue-platform,1,packages
catalogue-platform-cutover-readiness,catalogue-platform,2,resources
catalogue-platform-cutover-readiness,catalogue-platform,2,service_crosses_boundary
catalogue-platform-cutover-readiness,catalogue-platform,2,service_deployed_to_deployment
catalogue-platform-cutover-readiness,catalogue-platform,2,service_implements_module
catalogue-platform-cutover-readiness,catalogue-platform,1,service_owned_by_team
catalogue-platform-cutover-readiness,catalogue-platform,2,service_uses_resource
catalogue-platform-cutover-readiness,catalogue-platform,2,services
catalogue-platform-cutover-readiness,catalogue-platform,1,task_retires_package
catalogue-platform-cutover-readiness,catalogue-platform,1,task_targets_deployment
catalogue-platform-cutover-readiness,catalogue-platform,1,tasks
catalogue-platform-cutover-readiness,catalogue-platform,1,teams
catalogue-platform-cutover-readiness,catalogue-platform,2,test_verifies_service
catalogue-platform-cutover-readiness,catalogue-platform,2,tests
telemetry-platform-verification-control,telemetry-platform,2,boundarys
telemetry-platform-verification-control,telemetry-platform,1,deployments
telemetry-platform-verification-control,telemetry-platform,1,module_depends_on_module
telemetry-platform-verification-control,telemetry-platform,1,module_depends_on_package
telemetry-platform-verification-control,telemetry-platform,2,modules
telemetry-platform-verification-control,telemetry-platform,1,packages
telemetry-platform-verification-control,telemetry-platform,2,resources
telemetry-platform-verification-control,telemetry-platform,2,service_crosses_boundary
telemetry-platform-verification-control,telemetry-platform,2,service_deployed_to_deployment
telemetry-platform-verification-control,telemetry-platform,2,service_implements_module
telemetry-platform-verification-control,telemetry-platform,1,service_owned_by_team
telemetry-platform-verification-control,telemetry-platform,2,service_uses_resource
telemetry-platform-verification-control,telemetry-platform,2,services
telemetry-platform-verification-control,telemetry-platform,1,teams
telemetry-platform-verification-control,telemetry-platform,2,test_verifies_service
telemetry-platform-verification-control,telemetry-platform,2,tests
telemetry-platform-production-impact,telemetry-platform,2,boundarys
telemetry-platform-production-impact,telemetry-platform,1,deployments
telemetry-platform-production-impact,telemetry-platform,1,module_depends_on_module
telemetry-platform-production-impact,telemetry-platform,1,module_depends_on_package
telemetry-platform-production-impact,telemetry-platform,2,modules
telemetry-platform-production-impact,telemetry-platform,1,packages
telemetry-platform-production-impact,telemetry-platform,2,resources
telemetry-platform-production-impact,telemetry-platform,2,service_crosses_boundary
telemetry-platform-production-impact,telemetry-platform,2,service_deployed_to_deployment
telemetry-platform-production-impact,telemetry-platform,2,service_implements_module
telemetry-platform-production-impact,telemetry-platform,1,service_owned_by_team
telemetry-platform-production-impact,telemetry-platform,2,service_uses_resource
telemetry-platform-production-impact,telemetry-platform,2,services
telemetry-platform-production-impact,telemetry-platform,1,teams
telemetry-platform-production-impact,telemetry-platform,2,test_verifies_service
telemetry-platform-production-impact,telemetry-platform,2,tests
telemetry-platform-cutover-boundary-control,telemetry-platform,2,boundarys
telemetry-platform-cutover-boundary-control,telemetry-platform,1,deployments
telemetry-platform-cutover-boundary-control,telemetry-platform,1,module_depends_on_module
telemetry-platform-cutover-boundary-control,telemetry-platform,1,module_depends_on_package
telemetry-platform-cutover-boundary-control,telemetry-platform,2,modules
telemetry-platform-cutover-boundary-control,telemetry-platform,1,packages
telemetry-platform-cutover-boundary-control,telemetry-platform,2,resources
telemetry-platform-cutover-boundary-control,telemetry-platform,2,service_crosses_boundary
telemetry-platform-cutover-boundary-control,telemetry-platform,2,service_deployed_to_deployment
telemetry-platform-cutover-boundary-control,telemetry-platform,2,service_implements_module
telemetry-platform-cutover-boundary-control,telemetry-platform,1,service_owned_by_team
telemetry-platform-cutover-boundary-control,telemetry-platform,2,service_uses_resource
telemetry-platform-cutover-boundary-control,telemetry-platform,2,services
telemetry-platform-cutover-boundary-control,telemetry-platform,1,task_retires_package
telemetry-platform-cutover-boundary-control,telemetry-platform,1,task_targets_deployment
telemetry-platform-cutover-boundary-control,telemetry-platform,1,tasks
telemetry-platform-cutover-boundary-control,telemetry-platform,1,teams
telemetry-platform-cutover-boundary-control,telemetry-platform,2,test_verifies_service
telemetry-platform-cutover-boundary-control,telemetry-platform,2,tests
telemetry-platform-cutover-readiness,telemetry-platform,2,boundarys
telemetry-platform-cutover-readiness,telemetry-platform,1,deployments
telemetry-platform-cutover-readiness,telemetry-platform,1,module_depends_on_module
telemetry-platform-cutover-readiness,telemetry-platform,1,module_depends_on_package
telemetry-platform-cutover-readiness,telemetry-platform,2,modules
telemetry-platform-cutover-readiness,telemetry-platform,1,packages
telemetry-platform-cutover-readiness,telemetry-platform,2,resources
telemetry-platform-cutover-readiness,telemetry-platform,2,service_crosses_boundary
telemetry-platform-cutover-readiness,telemetry-platform,2,service_deployed_to_deployment
telemetry-platform-cutover-readiness,telemetry-platform,2,service_implements_module
telemetry-platform-cutover-readiness,telemetry-platform,1,service_owned_by_team
telemetry-platform-cutover-readiness,telemetry-platform,2,service_uses_resource
telemetry-platform-cutover-readiness,telemetry-platform,2,services
telemetry-platform-cutover-readiness,telemetry-platform,1,task_retires_package
telemetry-platform-cutover-readiness,telemetry-platform,1,task_targets_deployment
telemetry-platform-cutover-readiness,telemetry-platform,1,tasks
telemetry-platform-cutover-readiness,telemetry-platform,1,teams
telemetry-platform-cutover-readiness,telemetry-platform,2,test_verifies_service
telemetry-platform-cutover-readiness,telemetry-platform,2,tests
