part_number,part_type,description,rated_voltage_v,min_temp_c,max_temp_c,lifecycle
X150-G002-F2B3,sensor_interface_g002-f2b3,High-voltage sensor interface G002-F2B3,48,-20,80,active
X160-G002-F2B3,sensor_interface_g002-f2b3,Legacy sealed sensor interface G002-F2B3,24,-20,75,discontinued
X170-G002-F2B3,sensor_interface_g002-f2b3,Logic-level sensor interface G002-F2B3,5,-10,50,active
X180-G002-F2B3,sensor_interface_g002-f2b3,Standard sensor interface G002-F2B3,24,-20,80,active
R200-G002-F2B3,power_relay_g002-f2b3,Standard power relay G002-F2B3,24,-20,70,active
R210-G002-F2B3,power_relay_g002-f2b3,Vibration-rated power relay G002-F2B3,24,-40,85,active
C300-G002-F2B3,connector_g002-f2b3,Five-volt keyed connector G002-F2B3,5,-20,70,active
X100-G003-4768,sensor_interface_g003-4768,Field sensor interface G003-4768,24,-20,80,active
X110-G003-4768,sensor_interface_g003-4768,Coated sensor interface G003-4768,24,-30,85,active
X120-G003-4768,sensor_interface_g003-4768,Low-voltage sensor interface G003-4768,12,-20,70,active
X130-G003-4768,sensor_interface_g003-4768,Indoor sensor interface G003-4768,24,0,60,active
X140-G003-4768,sensor_interface_g003-4768,Extended-temperature interface G003-4768,24,-40,105,active
X150-G003-4768,sensor_interface_g003-4768,High-voltage sensor interface G003-4768,48,-20,80,active
X160-G003-4768,sensor_interface_g003-4768,Legacy sealed sensor interface G003-4768,24,-20,75,discontinued
X170-G003-4768,sensor_interface_g003-4768,Logic-level sensor interface G003-4768,5,-10,50,active
X180-G003-4768,sensor_interface_g003-4768,Standard sensor interface G003-4768,24,-20,80,active
R200-G003-4768,power_relay_g003-4768,Standard power relay G003-4768,24,-20,70,active
R210-G003-4768,power_relay_g003-4768,Vibration-rated power relay G003-4768,24,-40,85,active
C300-G003-4768,connector_g003-4768,Five-volt keyed connector G003-4768,5,-20,70,active
X100-G004-8D30,sensor_interface_g004-8d30,Field sensor interface G004-8D30,24,-20,80,active
X110-G004-8D30,sensor_interface_g004-8d30,Coated sensor interface G004-8D30,24,-30,85,active
X120-G004-8D30,sensor_interface_g004-8d30,Low-voltage sensor interface G004-8D30,12,-20,70,active
X130-G004-8D30,sensor_interface_g004-8d30,Indoor sensor interface G004-8D30,24,0,60,active
X140-G004-8D30,sensor_interface_g004-8d30,Extended-temperature interface G004-8D30,24,-40,105,active
X150-G004-8D30,sensor_interface_g004-8d30,High-voltage sensor interface G004-8D30,48,-20,80,active
X160-G004-8D30,sensor_interface_g004-8d30,Legacy sealed sensor interface G004-8D30,24,-20,75,discontinued
X170-G004-8D30,sensor_interface_g004-8d30,Logic-level sensor interface G004-8D30,5,-10,50,active
X180-G004-8D30,sensor_interface_g004-8d30,Standard sensor interface G004-8D30,24,-20,80,active
R200-G004-8D30,power_relay_g004-8d30,Standard power relay G004-8D30,24,-20,70,active
R210-G004-8D30,power_relay_g004-8d30,Vibration-rated power relay G004-8D30,24,-40,85,active
C300-G004-8D30,connector_g004-8d30,Five-volt keyed connector G004-8D30,5,-20,70,active
X100-G005-0E54,sensor_interface_g005-0e54,Field sensor interface G005-0E54,24,-20,80,active
X110-G005-0E54,sensor_interface_g005-0e54,Coated sensor interface G005-0E54,24,-30,85,active
X120-G005-0E54,sensor_interface_g005-0e54,Low-voltage sensor interface G005-0E54,12,-20,70,active
X130-G005-0E54,sensor_interface_g005-0e54,Indoor sensor interface G005-0E54,24,0,60,active
X140-G005-0E54,sensor_interface_g005-0e54,Extended-temperature interface G005-0E54,24,-40,105,active
X150-G005-0E54,sensor_interface_g005-0e54,High-voltage sensor interface G005-0E54,48,-20,80,active
X160-G005-0E54,sensor_interface_g005-0e54,Legacy sealed sensor interface G005-0E54,24,-20,75,discontinued
X170-G005-0E54,sensor_interface_g005-0e54,Logic-level sensor interface G005-0E54,5,-10,50,active
X180-G005-0E54,sensor_interface_g005-0e54,Standard sensor interface G005-0E54,24,-20,80,active
R200-G005-0E54,power_relay_g005-0e54,Standard power relay G005-0E54,24,-20,70,active
R210-G005-0E54,power_relay_g005-0e54,Vibration-rated power relay G005-0E54,24,-40,85,active
C300-G005-0E54,connector_g005-0e54,Five-volt keyed connector G005-0E54,5,-20,70,active
X100-G006-401D,sensor_interface_g006-401d,Field sensor interface G006-401D,24,-20,80,active
X110-G006-401D,sensor_interface_g006-401d,Coated sensor interface G006-401D,24,-30,85,active
X120-G006-401D,sensor_interface_g006-401d,Low-voltage sensor interface G006-401D,12,-20,70,active
X130-G006-401D,sensor_interface_g006-401d,Indoor sensor interface G006-401D,24,0,60,active
X140-G006-401D,sensor_interface_g006-401d,Extended-temperature interface G006-401D,24,-40,105,active
X150-G006-401D,sensor_interface_g006-401d,High-voltage sensor interface G006-401D,48,-20,80,active
X160-G006-401D,sensor_interface_g006-401d,Legacy sealed sensor interface G006-401D,24,-20,75,discontinued
X170-G006-401D,sensor_interface_g006-401d,Logic-level sensor interface G006-401D,5,-10,50,active
X180-G006-401D,sensor_interface_g006-401d,Standard sensor interface G006-401D,24,-20,80,active
R200-G006-401D,power_relay_g006-401d,Standard power relay G006-401D,24,-20,70,active
R210-G006-401D,power_relay_g006-401d,Vibration-rated power relay G006-401D,24,-40,85,active
C300-G006-401D,connector_g006-401d,Five-volt keyed connector G006-401D,5,-20,70,active
X100-G007-318A,sensor_interface_g007-318a,Field sensor interface G007-318A,24,-20,80,active
X110-G007-318A,sensor_interface_g007-318a,Coated sensor interface G007-318A,24,-30,85,active
X120-G007-318A,sensor_interface_g007-318a,Low-voltage sensor interface G007-318A,12,-20,70,active
X130-G007-318A,sensor_interface_g007-318a,Indoor sensor interface G007-318A,24,0,60,active
X140-G007-318A,sensor_interface_g007-318a,Extended-temperature interface G007-318A,24,-40,105,active
X150-G007-318A,sensor_interface_g007-318a,High-voltage sensor interface G007-318A,48,-20,80,active
X160-G007-318A,sensor_interface_g007-318a,Legacy sealed sensor interface G007-318A,24,-20,75,discontinued
X170-G007-318A,sensor_interface_g007-318a,Logic-level sensor interface G007-318A,5,-10,50,active
X180-G007-318A,sensor_interface_g007-318a,Standard sensor interface G007-318A,24,-20,80,active
R200-G007-318A,power_relay_g007-318a,Standard power relay G007-318A,24,-20,70,active
R210-G007-318A,power_relay_g007-318a,Vibration-rated power relay G007-318A,24,-40,85,active
C300-G007-318A,connector_g007-318a,Five-volt keyed connector G007-318A,5,-20,70,active
X100-G008-8069,sensor_interface_g008-8069,Field sensor interface G008-8069,24,-20,80,active
X110-G008-8069,sensor_interface_g008-8069,Coated sensor interface G008-8069,24,-30,85,active
X120-G008-8069,sensor_interface_g008-8069,Low-voltage sensor interface G008-8069,12,-20,70,active
X130-G008-8069,sensor_interface_g008-8069,Indoor sensor interface G008-8069,24,0,60,active
X140-G008-8069,sensor_interface_g008-8069,Extended-temperature interface G008-8069,24,-40,105,active
X150-G008-8069,sensor_interface_g008-8069,High-voltage sensor interface G008-8069,48,-20,80,active
X160-G008-8069,sensor_interface_g008-8069,Legacy sealed sensor interface G008-8069,24,-20,75,discontinued
X170-G008-8069,sensor_interface_g008-8069,Logic-level sensor interface G008-8069,5,-10,50,active
X180-G008-8069,sensor_interface_g008-8069,Standard sensor interface G008-8069,24,-20,80,active
R200-G008-8069,power_relay_g008-8069,Standard power relay G008-8069,24,-20,70,active
R210-G008-8069,power_relay_g008-8069,Vibration-rated power relay G008-8069,24,-40,85,active
C300-G008-8069,connector_g008-8069,Five-volt keyed connector G008-8069,5,-20,70,active
X100-G009-8C48,sensor_interface_g009-8c48,Field sensor interface G009-8C48,24,-20,80,active
X110-G009-8C48,sensor_interface_g009-8c48,Coated sensor interface G009-8C48,24,-30,85,active
X120-G009-8C48,sensor_interface_g009-8c48,Low-voltage sensor interface G009-8C48,12,-20,70,active
X130-G009-8C48,sensor_interface_g009-8c48,Indoor sensor interface G009-8C48,24,0,60,active
X140-G009-8C48,sensor_interface_g009-8c48,Extended-temperature interface G009-8C48,24,-40,105,active
X150-G009-8C48,sensor_interface_g009-8c48,High-voltage sensor interface G009-8C48,48,-20,80,active
X160-G009-8C48,sensor_interface_g009-8c48,Legacy sealed sensor interface G009-8C48,24,-20,75,discontinued
X170-G009-8C48,sensor_interface_g009-8c48,Logic-level sensor interface G009-8C48,5,-10,50,active
X180-G009-8C48,sensor_interface_g009-8c48,Standard sensor interface G009-8C48,24,-20,80,active
R200-G009-8C48,power_relay_g009-8c48,Standard power relay G009-8C48,24,-20,70,active
R210-G009-8C48,power_relay_g009-8c48,Vibration-rated power relay G009-8C48,24,-40,85,active
C300-G009-8C48,connector_g009-8c48,Five-volt keyed connector G009-8C48,5,-20,70,active
X100-G010-4117,sensor_interface_g010-4117,Field sensor interface G010-4117,24,-20,80,active
X110-G010-4117,sensor_interface_g010-4117,Coated sensor interface G010-4117,24,-30,85,active
X120-G010-4117,sensor_interface_g010-4117,Low-voltage sensor interface G010-4117,12,-20,70,active
X130-G010-4117,sensor_interface_g010-4117,Indoor sensor interface G010-4117,24,0,60,active
X140-G010-4117,sensor_interface_g010-4117,Extended-temperature interface G010-4117,24,-40,105,active
X150-G010-4117,sensor_interface_g010-4117,High-voltage sensor interface G010-4117,48,-20,80,active
X160-G010-4117,sensor_interface_g010-4117,Legacy sealed sensor interface G010-4117,24,-20,75,discontinued
X170-G010-4117,sensor_interface_g010-4117,Logic-level sensor interface G010-4117,5,-10,50,active
X180-G010-4117,sensor_interface_g010-4117,Standard sensor interface G010-4117,24,-20,80,active
R200-G010-4117,power_relay_g010-4117,Standard power relay G010-4117,24,-20,70,active
R210-G010-4117,power_relay_g010-4117,Vibration-rated power relay G010-4117,24,-40,85,active
C300-G010-4117,connector_g010-4117,Five-volt keyed connector G010-4117,5,-20,70,active
X100-G011-D3DA,sensor_interface_g011-d3da,Field sensor interface G011-D3DA,24,-20,80,active
X110-G011-D3DA,sensor_interface_g011-d3da,Coated sensor interface G011-D3DA,24,-30,85,active
X120-G011-D3DA,sensor_interface_g011-d3da,Low-voltage sensor interface G011-D3DA,12,-20,70,active
X130-G011-D3DA,sensor_interface_g011-d3da,Indoor sensor interface G011-D3DA,24,0,60,active
X140-G011-D3DA,sensor_interface_g011-d3da,Extended-temperature interface G011-D3DA,24,-40,105,active
X150-G011-D3DA,sensor_interface_g011-d3da,High-voltage sensor interface G011-D3DA,48,-20,80,active
X160-G011-D3DA,sensor_interface_g011-d3da,Legacy sealed sensor interface G011-D3DA,24,-20,75,discontinued
X170-G011-D3DA,sensor_interface_g011-d3da,Logic-level sensor interface G011-D3DA,5,-10,50,active
X180-G011-D3DA,sensor_interface_g011-d3da,Standard sensor interface G011-D3DA,24,-20,80,active
R200-G011-D3DA,power_relay_g011-d3da,Standard power relay G011-D3DA,24,-20,70,active
R210-G011-D3DA,power_relay_g011-d3da,Vibration-rated power relay G011-D3DA,24,-40,85,active
C300-G011-D3DA,connector_g011-d3da,Five-volt keyed connector G011-D3DA,5,-20,70,active
X100-G012-DB0C,sensor_interface_g012-db0c,Field sensor interface G012-DB0C,24,-20,80,active
X110-G012-DB0C,sensor_interface_g012-db0c,Coated sensor interface G012-DB0C,24,-30,85,active
X120-G012-DB0C,sensor_interface_g012-db0c,Low-voltage sensor interface G012-DB0C,12,-20,70,active
X130-G012-DB0C,sensor_interface_g012-db0c,Indoor sensor interface G012-DB0C,24,0,60,active
X140-G012-DB0C,sensor_interface_g012-db0c,Extended-temperature interface G012-DB0C,24,-40,105,active
X150-G012-DB0C,sensor_interface_g012-db0c,High-voltage sensor interface G012-DB0C,48,-20,80,active
X160-G012-DB0C,sensor_interface_g012-db0c,Legacy sealed sensor interface G012-DB0C,24,-20,75,discontinued
X170-G012-DB0C,sensor_interface_g012-db0c,Logic-level sensor interface G012-DB0C,5,-10,50,active
X180-G012-DB0C,sensor_interface_g012-db0c,Standard sensor interface G012-DB0C,24,-20,80,active
R200-G012-DB0C,power_relay_g012-db0c,Standard power relay G012-DB0C,24,-20,70,active
R210-G012-DB0C,power_relay_g012-db0c,Vibration-rated power relay G012-DB0C,24,-40,85,active
C300-G012-DB0C,connector_g012-db0c,Five-volt keyed connector G012-DB0C,5,-20,70,active
X100-G013-39F5,sensor_interface_g013-39f5,Field sensor interface G013-39F5,24,-20,80,active
X110-G013-39F5,sensor_interface_g013-39f5,Coated sensor interface G013-39F5,24,-30,85,active
X120-G013-39F5,sensor_interface_g013-39f5,Low-voltage sensor interface G013-39F5,12,-20,70,active
X130-G013-39F5,sensor_interface_g013-39f5,Indoor sensor interface G013-39F5,24,0,60,active
X140-G013-39F5,sensor_interface_g013-39f5,Extended-temperature interface G013-39F5,24,-40,105,active
X150-G013-39F5,sensor_interface_g013-39f5,High-voltage sensor interface G013-39F5,48,-20,80,active
X160-G013-39F5,sensor_interface_g013-39f5,Legacy sealed sensor interface G013-39F5,24,-20,75,discontinued
X170-G013-39F5,sensor_interface_g013-39f5,Logic-level sensor interface G013-39F5,5,-10,50,active
X180-G013-39F5,sensor_interface_g013-39f5,Standard sensor interface G013-39F5,24,-20,80,active
R200-G013-39F5,power_relay_g013-39f5,Standard power relay G013-39F5,24,-20,70,active
R210-G013-39F5,power_relay_g013-39f5,Vibration-rated power relay G013-39F5,24,-40,85,active
C300-G013-39F5,connector_g013-39f5,Five-volt keyed connector G013-39F5,5,-20,70,active
X100-G014-4E33,sensor_interface_g014-4e33,Field sensor interface G014-4E33,24,-20,80,active
X110-G014-4E33,sensor_interface_g014-4e33,Coated sensor interface G014-4E33,24,-30,85,active
X120-G014-4E33,sensor_interface_g014-4e33,Low-voltage sensor interface G014-4E33,12,-20,70,active
X130-G014-4E33,sensor_interface_g014-4e33,Indoor sensor interface G014-4E33,24,0,60,active
X140-G014-4E33,sensor_interface_g014-4e33,Extended-temperature interface G014-4E33,24,-40,105,active
X150-G014-4E33,sensor_interface_g014-4e33,High-voltage sensor interface G014-4E33,48,-20,80,active
X160-G014-4E33,sensor_interface_g014-4e33,Legacy sealed sensor interface G014-4E33,24,-20,75,discontinued
X170-G014-4E33,sensor_interface_g014-4e33,Logic-level sensor interface G014-4E33,5,-10,50,active
X180-G014-4E33,sensor_interface_g014-4e33,Standard sensor interface G014-4E33,24,-20,80,active
R200-G014-4E33,power_relay_g014-4e33,Standard power relay G014-4E33,24,-20,70,active
R210-G014-4E33,power_relay_g014-4e33,Vibration-rated power relay G014-4E33,24,-40,85,active
C300-G014-4E33,connector_g014-4e33,Five-volt keyed connector G014-4E33,5,-20,70,active
X100-G015-EF65,sensor_interface_g015-ef65,Field sensor interface G015-EF65,24,-20,80,active
X110-G015-EF65,sensor_interface_g015-ef65,Coated sensor interface G015-EF65,24,-30,85,active
X120-G015-EF65,sensor_interface_g015-ef65,Low-voltage sensor interface G015-EF65,12,-20,70,active
X130-G015-EF65,sensor_interface_g015-ef65,Indoor sensor interface G015-EF65,24,0,60,active
X140-G015-EF65,sensor_interface_g015-ef65,Extended-temperature interface G015-EF65,24,-40,105,active
X150-G015-EF65,sensor_interface_g015-ef65,High-voltage sensor interface G015-EF65,48,-20,80,active
X160-G015-EF65,sensor_interface_g015-ef65,Legacy sealed sensor interface G015-EF65,24,-20,75,discontinued
X170-G015-EF65,sensor_interface_g015-ef65,Logic-level sensor interface G015-EF65,5,-10,50,active
X180-G015-EF65,sensor_interface_g015-ef65,Standard sensor interface G015-EF65,24,-20,80,active
R200-G015-EF65,power_relay_g015-ef65,Standard power relay G015-EF65,24,-20,70,active
R210-G015-EF65,power_relay_g015-ef65,Vibration-rated power relay G015-EF65,24,-40,85,active
C300-G015-EF65,connector_g015-ef65,Five-volt keyed connector G015-EF65,5,-20,70,active
X100-G016-3575,sensor_interface_g016-3575,Field sensor interface G016-3575,24,-20,80,active
X110-G016-3575,sensor_interface_g016-3575,Coated sensor interface G016-3575,24,-30,85,active
X120-G016-3575,sensor_interface_g016-3575,Low-voltage sensor interface G016-3575,12,-20,70,active
X130-G016-3575,sensor_interface_g016-3575,Indoor sensor interface G016-3575,24,0,60,active
X140-G016-3575,sensor_interface_g016-3575,Extended-temperature interface G016-3575,24,-40,105,active
X150-G016-3575,sensor_interface_g016-3575,High-voltage sensor interface G016-3575,48,-20,80,active
X160-G016-3575,sensor_interface_g016-3575,Legacy sealed sensor interface G016-3575,24,-20,75,discontinued
X170-G016-3575,sensor_interface_g016-3575,Logic-level sensor interface G016-3575,5,-10,50,active
X180-G016-3575,sensor_interface_g016-3575,Standard sensor interface G016-3575,24,-20,80,active
R200-G016-3575,power_relay_g016-3575,Standard power relay G016-3575,24,-20,70,active
R210-G016-3575,power_relay_g016-3575,Vibration-rated power relay G016-3575,24,-40,85,active
C300-G016-3575,connector_g016-3575,Five-volt keyed connector G016-3575,5,-20,70,active
X100-G017-F6F2,sensor_interface_g017-f6f2,Field sensor interface G017-F6F2,24,-20,80,active
X110-G017-F6F2,sensor_interface_g017-f6f2,Coated sensor interface G017-F6F2,24,-30,85,active
X120-G017-F6F2,sensor_interface_g017-f6f2,Low-voltage sensor interface G017-F6F2,12,-20,70,active
X130-G017-F6F2,sensor_interface_g017-f6f2,Indoor sensor interface G017-F6F2,24,0,60,active
X140-G017-F6F2,sensor_interface_g017-f6f2,Extended-temperature interface G017-F6F2,24,-40,105,active
X150-G017-F6F2,sensor_interface_g017-f6f2,High-voltage sensor interface G017-F6F2,48,-20,80,active
X160-G017-F6F2,sensor_interface_g017-f6f2,Legacy sealed sensor interface G017-F6F2,24,-20,75,discontinued
X170-G017-F6F2,sensor_interface_g017-f6f2,Logic-level sensor interface G017-F6F2,5,-10,50,active
X180-G017-F6F2,sensor_interface_g017-f6f2,Standard sensor interface G017-F6F2,24,-20,80,active
R200-G017-F6F2,power_relay_g017-f6f2,Standard power relay G017-F6F2,24,-20,70,active
R210-G017-F6F2,power_relay_g017-f6f2,Vibration-rated power relay G017-F6F2,24,-40,85,active
C300-G017-F6F2,connector_g017-f6f2,Five-volt keyed connector G017-F6F2,5,-20,70,active
X100-G018-BEBE,sensor_interface_g018-bebe,Field sensor interface G018-BEBE,24,-20,80,active
X110-G018-BEBE,sensor_interface_g018-bebe,Coated sensor interface G018-BEBE,24,-30,85,active
X120-G018-BEBE,sensor_interface_g018-bebe,Low-voltage sensor interface G018-BEBE,12,-20,70,active
X130-G018-BEBE,sensor_interface_g018-bebe,Indoor sensor interface G018-BEBE,24,0,60,active
X140-G018-BEBE,sensor_interface_g018-bebe,Extended-temperature interface G018-BEBE,24,-40,105,active
X150-G018-BEBE,sensor_interface_g018-bebe,High-voltage sensor interface G018-BEBE,48,-20,80,active
X160-G018-BEBE,sensor_interface_g018-bebe,Legacy sealed sensor interface G018-BEBE,24,-20,75,discontinued
X170-G018-BEBE,sensor_interface_g018-bebe,Logic-level sensor interface G018-BEBE,5,-10,50,active
X180-G018-BEBE,sensor_interface_g018-bebe,Standard sensor interface G018-BEBE,24,-20,80,active
R200-G018-BEBE,power_relay_g018-bebe,Standard power relay G018-BEBE,24,-20,70,active
R210-G018-BEBE,power_relay_g018-bebe,Vibration-rated power relay G018-BEBE,24,-40,85,active
C300-G018-BEBE,connector_g018-bebe,Five-volt keyed connector G018-BEBE,5,-20,70,active
X100-G019-5A24,sensor_interface_g019-5a24,Field sensor interface G019-5A24,24,-20,80,active
X110-G019-5A24,sensor_interface_g019-5a24,Coated sensor interface G019-5A24,24,-30,85,active
X120-G019-5A24,sensor_interface_g019-5a24,Low-voltage sensor interface G019-5A24,12,-20,70,active
X130-G019-5A24,sensor_interface_g019-5a24,Indoor sensor interface G019-5A24,24,0,60,active
X140-G019-5A24,sensor_interface_g019-5a24,Extended-temperature interface G019-5A24,24,-40,105,active
X150-G019-5A24,sensor_interface_g019-5a24,High-voltage sensor interface G019-5A24,48,-20,80,active
X160-G019-5A24,sensor_interface_g019-5a24,Legacy sealed sensor interface G019-5A24,24,-20,75,discontinued
X170-G019-5A24,sensor_interface_g019-5a24,Logic-level sensor interface G019-5A24,5,-10,50,active
X180-G019-5A24,sensor_interface_g019-5a24,Standard sensor interface G019-5A24,24,-20,80,active
R200-G019-5A24,power_relay_g019-5a24,Standard power relay G019-5A24,24,-20,70,active
R210-G019-5A24,power_relay_g019-5a24,Vibration-rated power relay G019-5A24,24,-40,85,active
C300-G019-5A24,connector_g019-5a24,Five-volt keyed connector G019-5A24,5,-20,70,active
X100-G020-5C81,sensor_interface_g020-5c81,Field sensor interface G020-5C81,24,-20,80,active
X110-G020-5C81,sensor_interface_g020-5c81,Coated sensor interface G020-5C81,24,-30,85,active
X120-G020-5C81,sensor_interface_g020-5c81,Low-voltage sensor interface G020-5C81,12,-20,70,active
X130-G020-5C81,sensor_interface_g020-5c81,Indoor sensor interface G020-5C81,24,0,60,active
X140-G020-5C81,sensor_interface_g020-5c81,Extended-temperature interface G020-5C81,24,-40,105,active
X150-G020-5C81,sensor_interface_g020-5c81,High-voltage sensor interface G020-5C81,48,-20,80,active
X160-G020-5C81,sensor_interface_g020-5c81,Legacy sealed sensor interface G020-5C81,24,-20,75,discontinued
X170-G020-5C81,sensor_interface_g020-5c81,Logic-level sensor interface G020-5C81,5,-10,50,active
X180-G020-5C81,sensor_interface_g020-5c81,Standard sensor interface G020-5C81,24,-20,80,active
R200-G020-5C81,power_relay_g020-5c81,Standard power relay G020-5C81,24,-20,70,active
R210-G020-5C81,power_relay_g020-5c81,Vibration-rated power relay G020-5C81,24,-40,85,active
C300-G020-5C81,connector_g020-5c81,Five-volt keyed connector G020-5C81,5,-20,70,active
X100-G021-F56F,sensor_interface_g021-f56f,Field sensor interface G021-F56F,24,-20,80,active
X110-G021-F56F,sensor_interface_g021-f56f,Coated sensor interface G021-F56F,24,-30,85,active
X120-G021-F56F,sensor_interface_g021-f56f,Low-voltage sensor interface G021-F56F,12,-20,70,active
X130-G021-F56F,sensor_interface_g021-f56f,Indoor sensor interface G021-F56F,24,0,60,active
X140-G021-F56F,sensor_interface_g021-f56f,Extended-temperature interface G021-F56F,24,-40,105,active
X150-G021-F56F,sensor_interface_g021-f56f,High-voltage sensor interface G021-F56F,48,-20,80,active
X160-G021-F56F,sensor_interface_g021-f56f,Legacy sealed sensor interface G021-F56F,24,-20,75,discontinued
X170-G021-F56F,sensor_interface_g021-f56f,Logic-level sensor interface G021-F56F,5,-10,50,active
X180-G021-F56F,sensor_interface_g021-f56f,Standard sensor interface G021-F56F,24,-20,80,active
R200-G021-F56F,power_relay_g021-f56f,Standard power relay G021-F56F,24,-20,70,active
R210-G021-F56F,power_relay_g021-f56f,Vibration-rated power relay G021-F56F,24,-40,85,active
C300-G021-F56F,connector_g021-f56f,Five-volt keyed connector G021-F56F,5,-20,70,active
X100-G022-C937,sensor_interface_g022-c937,Field sensor interface G022-C937,24,-20,80,active
X110-G022-C937,sensor_interface_g022-c937,Coated sensor interface G022-C937,24,-30,85,active
X120-G022-C937,sensor_interface_g022-c937,Low-voltage sensor interface G022-C937,12,-20,70,active
X130-G022-C937,sensor_interface_g022-c937,Indoor sensor interface G022-C937,24,0,60,active
X140-G022-C937,sensor_interface_g022-c937,Extended-temperature interface G022-C937,24,-40,105,active
X150-G022-C937,sensor_interface_g022-c937,High-voltage sensor interface G022-C937,48,-20,80,active
X160-G022-C937,sensor_interface_g022-c937,Legacy sealed sensor interface G022-C937,24,-20,75,discontinued
X170-G022-C937,sensor_interface_g022-c937,Logic-level sensor interface G022-C937,5,-10,50,active
X180-G022-C937,sensor_interface_g022-c937,Standard sensor interface G022-C937,24,-20,80,active
R200-G022-C937,power_relay_g022-c937,Standard power relay G022-C937,24,-20,70,active
R210-G022-C937,power_relay_g022-c937,Vibration-rated power relay G022-C937,24,-40,85,active
C300-G022-C937,connector_g022-c937,Five-volt keyed connector G022-C937,5,-20,70,active
X100-G023-1B91,sensor_interface_g023-1b91,Field sensor interface G023-1B91,24,-20,80,active
X110-G023-1B91,sensor_interface_g023-1b91,Coated sensor interface G023-1B91,24,-30,85,active
X120-G023-1B91,sensor_interface_g023-1b91,Low-voltage sensor interface G023-1B91,12,-20,70,active
X130-G023-1B91,sensor_interface_g023-1b91,Indoor sensor interface G023-1B91,24,0,60,active
X140-G023-1B91,sensor_interface_g023-1b91,Extended-temperature interface G023-1B91,24,-40,105,active
X150-G023-1B91,sensor_interface_g023-1b91,High-voltage sensor interface G023-1B91,48,-20,80,active
X160-G023-1B91,sensor_interface_g023-1b91,Legacy sealed sensor interface G023-1B91,24,-20,75,discontinued
X170-G023-1B91,sensor_interface_g023-1b91,Logic-level sensor interface G023-1B91,5,-10,50,active
X180-G023-1B91,sensor_interface_g023-1b91,Standard sensor interface G023-1B91,24,-20,80,active
R200-G023-1B91,power_relay_g023-1b91,Standard power relay G023-1B91,24,-20,70,active
R210-G023-1B91,power_relay_g023-1b91,Vibration-rated power relay G023-1B91,24,-40,85,active
C300-G023-1B91,connector_g023-1b91,Five-volt keyed connector G023-1B91,5,-20,70,active
X100-G024-D80E,sensor_interface_g024-d80e,Field sensor interface G024-D80E,24,-20,80,active
X110-G024-D80E,sensor_interface_g024-d80e,Coated sensor interface G024-D80E,24,-30,85,active
X120-G024-D80E,sensor_interface_g024-d80e,Low-voltage sensor interface G024-D80E,12,-20,70,active
X130-G024-D80E,sensor_interface_g024-d80e,Indoor sensor interface G024-D80E,24,0,60,active
X140-G024-D80E,sensor_interface_g024-d80e,Extended-temperature interface G024-D80E,24,-40,105,active
